               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.034102,            0.028926,           0.0012524,             0.60657,             0.61335,             0.65685,             0.31608,            0.028691,            0.014539,           0.0084097,            0.003961,            0.003961,            0.003961
                  63,            0.033477,            0.028842,           0.0013001,             0.64503,             0.65802,             0.69472,             0.33724,            0.030038,            0.014231,           0.0062571,            0.003862,            0.003862,            0.003862
                  64,             0.03339,            0.029561,           0.0012997,             0.64209,             0.68352,             0.69247,             0.32804,             0.03047,            0.014377,            0.005914,            0.003763,            0.003763,            0.003763
                  65,            0.033085,            0.028437,           0.0014358,             0.58367,             0.65449,             0.65619,             0.31082,            0.029643,            0.014393,           0.0043645,            0.003664,            0.003664,            0.003664
                  66,            0.033703,            0.029508,           0.0010335,             0.63729,             0.64468,             0.68708,             0.33925,            0.028511,            0.014495,           0.0033423,            0.003565,            0.003565,            0.003565
                  67,            0.033479,             0.02893,           0.0011502,             0.66949,             0.65032,             0.69805,             0.33504,            0.029123,            0.014435,            0.006093,            0.003466,            0.003466,            0.003466
                  68,            0.033172,            0.028871,           0.0013264,             0.62099,             0.66488,             0.67829,             0.32839,            0.029049,            0.014308,           0.0040454,            0.003367,            0.003367,            0.003367
                  69,            0.033122,            0.028687,           0.0010158,             0.64404,             0.66572,             0.70633,             0.33725,             0.02909,            0.014425,           0.0039355,            0.003268,            0.003268,            0.003268
                  70,            0.032557,            0.027396,            0.001523,              0.6262,             0.65665,             0.68345,              0.3228,            0.029211,            0.014568,           0.0030162,            0.003169,            0.003169,            0.003169
                  71,            0.032167,            0.028673,           0.0012215,             0.60956,             0.67332,             0.66662,             0.31376,            0.030864,            0.014622,            0.004923,             0.00307,             0.00307,             0.00307
                  72,            0.032607,            0.028718,           0.0010473,             0.59961,             0.67969,             0.66419,             0.32138,            0.029918,            0.014443,           0.0077075,            0.002971,            0.002971,            0.002971
                  73,            0.032978,            0.027598,           0.0010643,             0.59921,             0.67349,             0.66916,             0.32882,            0.029549,            0.014589,           0.0063163,            0.002872,            0.002872,            0.002872
                  74,            0.032251,            0.028205,            0.001249,             0.61762,             0.68965,             0.68101,             0.32168,            0.030451,            0.014636,            0.007771,            0.002773,            0.002773,            0.002773
                  75,            0.032517,            0.028592,           0.0012558,              0.6444,              0.6668,             0.69144,             0.32863,            0.029119,            0.014686,           0.0059164,            0.002674,            0.002674,            0.002674
                  76,            0.031721,            0.028177,          0.00092466,             0.58963,             0.64358,             0.62231,             0.29503,             0.02966,            0.014924,           0.0093222,            0.002575,            0.002575,            0.002575
                  77,            0.032408,            0.028333,           0.0010437,             0.60359,             0.67124,             0.68502,             0.33915,            0.028985,            0.014581,           0.0067792,            0.002476,            0.002476,            0.002476
                  78,            0.031983,            0.028281,            0.001128,             0.64657,             0.66569,             0.67613,             0.32554,            0.029882,             0.01459,           0.0062855,            0.002377,            0.002377,            0.002377
                  79,            0.031902,            0.028003,           0.0008634,              0.5997,             0.66217,             0.66081,               0.321,             0.02898,            0.014577,           0.0030088,            0.002278,            0.002278,            0.002278
                  80,            0.031545,            0.027613,          0.00074627,             0.64809,             0.66603,             0.69978,             0.33699,            0.029354,            0.014543,           0.0033189,            0.002179,            0.002179,            0.002179
                  81,             0.03107,            0.027158,          0.00084786,             0.63487,             0.69819,             0.70958,             0.34485,            0.029025,            0.014536,           0.0038438,             0.00208,             0.00208,             0.00208
                  82,            0.031287,            0.027058,           0.0012964,             0.60223,             0.69299,             0.67835,             0.32932,            0.029388,            0.014835,            0.003576,            0.001981,            0.001981,            0.001981
                  83,            0.030628,            0.027684,          0.00099434,             0.61976,             0.70441,              0.6997,             0.33903,            0.029257,            0.014453,           0.0035801,            0.001882,            0.001882,            0.001882
                  84,            0.031424,            0.026911,          0.00087215,             0.59339,              0.6939,             0.67302,             0.32768,            0.029756,             0.01479,             0.00483,            0.001783,            0.001783,            0.001783
                  85,             0.03108,            0.026934,          0.00077259,             0.61157,             0.70433,             0.71261,             0.34027,            0.029787,            0.014724,           0.0048771,            0.001684,            0.001684,            0.001684
                  86,            0.030882,            0.027548,           0.0010041,             0.62279,             0.67321,             0.68143,             0.32859,            0.029258,            0.014785,           0.0061836,            0.001585,            0.001585,            0.001585
                  87,            0.031261,            0.027629,           0.0011907,              0.6297,             0.69463,             0.69361,             0.33844,             0.02992,            0.014645,           0.0042015,            0.001486,            0.001486,            0.001486
                  88,            0.030399,            0.027121,           0.0010774,             0.62957,             0.67093,             0.68124,             0.32733,            0.029773,            0.014827,           0.0043474,            0.001387,            0.001387,            0.001387
                  89,            0.030463,            0.026247,          0.00077531,              0.6322,             0.68741,             0.70296,             0.34124,            0.029333,            0.014544,           0.0063584,            0.001288,            0.001288,            0.001288
                  90,            0.030469,            0.026611,           0.0011152,             0.63482,             0.70896,             0.70457,             0.34545,            0.028709,            0.014481,           0.0052974,            0.001189,            0.001189,            0.001189
                  91,            0.030064,            0.026981,          0.00098059,             0.62283,             0.68695,             0.69615,             0.33766,              0.0297,             0.01482,           0.0041914,             0.00109,             0.00109,             0.00109
                  92,            0.029688,            0.027299,          0.00066235,             0.63517,             0.69896,             0.70009,             0.33884,            0.029656,            0.014588,           0.0055291,            0.000991,            0.000991,            0.000991
                  93,            0.030176,            0.026553,          0.00070592,             0.63622,             0.70964,             0.70119,             0.34578,            0.029521,            0.014564,           0.0048344,            0.000892,            0.000892,            0.000892
                  94,            0.030032,            0.027266,          0.00079418,             0.63696,              0.6883,             0.70259,             0.33809,            0.029781,            0.014684,            0.004416,            0.000793,            0.000793,            0.000793
                  95,            0.029958,            0.027421,          0.00081763,             0.64233,             0.70565,             0.70988,             0.34501,             0.02924,             0.01466,           0.0048273,            0.000694,            0.000694,            0.000694
                  96,            0.030233,            0.026538,          0.00079299,             0.61973,             0.70547,             0.69347,             0.33954,            0.029017,            0.014644,           0.0055278,            0.000595,            0.000595,            0.000595
                  97,            0.029503,            0.026373,          0.00077459,             0.64706,             0.68547,             0.70672,             0.34683,             0.02922,            0.014586,           0.0051435,            0.000496,            0.000496,            0.000496
                  98,            0.029416,              0.0269,          0.00070044,             0.65975,             0.70605,             0.70483,             0.34721,            0.029087,            0.014522,           0.0051753,            0.000397,            0.000397,            0.000397
                  99,            0.029774,            0.026429,          0.00069083,             0.63013,             0.71095,              0.6988,             0.34582,            0.029126,            0.014575,           0.0044375,            0.000298,            0.000298,            0.000298
