               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,             0.02965,            0.027282,           0.0011497,             0.63303,              0.7001,             0.68171,             0.32925,            0.030427,            0.015273,            0.009617,             0.00307,             0.00307,             0.00307
                  72,            0.030116,             0.02723,          0.00096311,             0.61858,             0.67437,             0.66938,             0.33973,            0.028749,               0.015,            0.010991,            0.002971,            0.002971,            0.002971
                  73,             0.03066,            0.026299,           0.0011021,             0.62282,             0.69546,             0.68223,             0.33971,            0.028916,            0.015215,            0.010289,            0.002872,            0.002872,            0.002872
                  74,            0.029897,            0.026857,           0.0010488,             0.61129,             0.69406,             0.66988,              0.3368,            0.029042,            0.014954,           0.0089628,            0.002773,            0.002773,            0.002773
                  75,            0.030023,            0.027193,            0.001199,             0.65726,             0.66397,             0.68588,             0.35097,            0.028475,            0.015245,           0.0051987,            0.002674,            0.002674,            0.002674
                  76,            0.029411,             0.02687,          0.00079202,              0.5959,             0.70776,             0.65989,             0.34095,             0.02919,            0.015211,            0.008173,            0.002575,            0.002575,            0.002575
                  77,            0.030012,            0.026953,            0.001095,             0.64466,              0.6861,             0.69084,             0.35953,            0.028387,            0.015077,           0.0086441,            0.002476,            0.002476,            0.002476
                  78,            0.029582,             0.02687,           0.0010782,             0.61761,             0.70548,             0.66327,              0.3371,            0.028297,            0.015121,           0.0091952,            0.002377,            0.002377,            0.002377
                  79,            0.029359,            0.026583,          0.00069433,               0.627,             0.67832,             0.66421,             0.33758,            0.029076,            0.015419,            0.010024,            0.002278,            0.002278,            0.002278
                  80,            0.029183,            0.026161,          0.00067449,             0.62781,             0.72083,             0.68933,             0.35303,            0.028568,            0.014868,           0.0094787,            0.002179,            0.002179,            0.002179
                  81,            0.028596,            0.025714,          0.00072843,             0.67494,             0.69773,             0.71396,             0.36656,            0.029101,            0.015101,           0.0093226,             0.00208,             0.00208,             0.00208
                  82,            0.028626,            0.025555,           0.0011083,             0.65683,             0.68407,             0.69105,             0.35892,            0.029033,            0.015058,           0.0072691,            0.001981,            0.001981,            0.001981
                  83,            0.028274,            0.026012,          0.00096786,             0.67678,             0.69189,             0.70707,             0.35961,            0.029191,            0.015386,           0.0078664,            0.001882,            0.001882,            0.001882
                  84,            0.028958,            0.025492,          0.00069578,             0.64942,             0.69286,             0.69283,             0.35249,            0.028836,            0.015441,           0.0098181,            0.001783,            0.001783,            0.001783
                  85,            0.028378,            0.025284,          0.00062304,             0.61496,             0.70078,             0.69477,             0.35272,            0.028975,            0.015351,           0.0097606,            0.001684,            0.001684,            0.001684
                  86,            0.028218,            0.026059,          0.00078655,             0.63412,             0.70529,             0.69168,             0.35981,            0.028981,            0.015257,           0.0097415,            0.001585,            0.001585,            0.001585
                  87,            0.028553,            0.026104,          0.00084228,             0.66387,             0.67327,             0.70672,             0.35434,            0.029167,            0.015363,           0.0085146,            0.001486,            0.001486,            0.001486
                  88,            0.027778,            0.025564,          0.00093383,             0.66821,             0.66657,             0.69253,             0.35806,            0.029218,            0.015549,           0.0076108,            0.001387,            0.001387,            0.001387
                  89,            0.028079,            0.024801,          0.00073999,             0.64411,              0.6943,             0.69421,             0.35669,            0.028897,             0.01527,            0.010992,            0.001288,            0.001288,            0.001288
                  90,            0.027507,            0.025042,          0.00090033,             0.64917,             0.69386,             0.69445,             0.35583,            0.028344,            0.015384,            0.010754,            0.001189,            0.001189,            0.001189
                  91,            0.027481,             0.02536,           0.0008624,             0.65611,             0.67544,              0.6882,             0.35289,            0.028708,            0.015535,           0.0078965,             0.00109,             0.00109,             0.00109
                  92,            0.027134,            0.025605,          0.00059696,             0.63338,             0.70472,             0.69546,             0.35673,             0.02883,            0.015538,           0.0071105,            0.000991,            0.000991,            0.000991
                  93,            0.027316,            0.024847,          0.00060204,             0.61724,             0.69806,             0.68626,             0.35361,            0.028905,            0.015313,           0.0076169,            0.000892,            0.000892,            0.000892
                  94,            0.027444,            0.025557,          0.00079687,             0.63438,             0.69773,             0.69234,             0.35605,            0.028621,             0.01527,           0.0083006,            0.000793,            0.000793,            0.000793
                  95,            0.027235,            0.025876,          0.00075347,             0.61912,             0.71244,             0.68673,             0.35533,            0.028924,            0.015331,           0.0094518,            0.000694,            0.000694,            0.000694
                  96,            0.027373,             0.02479,          0.00076054,             0.61938,             0.70361,             0.68454,             0.35097,            0.029002,            0.015461,           0.0082304,            0.000595,            0.000595,            0.000595
                  97,            0.026924,            0.024752,          0.00067088,             0.63571,             0.69957,             0.68732,             0.35431,            0.028909,             0.01545,           0.0082356,            0.000496,            0.000496,            0.000496
                  98,            0.026794,            0.025169,          0.00057943,             0.61006,             0.71978,             0.68568,             0.35473,            0.028684,            0.015264,           0.0081751,            0.000397,            0.000397,            0.000397
                  99,            0.027027,            0.024662,          0.00056914,             0.62687,             0.70244,             0.68989,             0.35774,            0.028857,            0.015378,           0.0079124,            0.000298,            0.000298,            0.000298
